Pull the latest forms from Jotform. Only forms whose title starts with 'OCSA Cleaning_' will be imported. Forms in the app that no longer match this prefix (including any Construction or MCFL forms) will be removed along with their submissions. Continue?,Traer los formularios más recientes de Jotform. Solo se importarán los formularios cuyo título empiece por 'OCSA Cleaning_'. Los formularios de la aplicación que ya no coincidan con ese prefijo (incluidos los de Construction o MCFL) se eliminarán junto con sus envíos. ¿Continuar?,"Forms, the question before the forms are synced"
"Pulls every submission from Jotform for every enabled form, ignoring the incremental filter. Existing cached submissions are re-fetched and their metadata is refreshed (submitter name, email, matched employee, expiry). Admin-set fields (status, notes, manual expiry, entity links) are preserved.","Trae cada envío de Jotform de cada formulario habilitado, sin el filtro incremental. Los envíos ya guardados se vuelven a obtener y se actualizan sus metadatos (nombre del remitente, correo, persona asociada, vencimiento). Los campos fijados por un administrador (estado, notas, vencimiento manual, vínculos a registros) se conservan.","Forms, Settings, the full refresh window"
QR,QR,"Inventory, a supply's QR code picture"
QR: {0},QR: {0},"Inventory, a supply's QR code"
Quality,Calidad,The shell
Quality System,Sistema de calidad,"Sites, Service Details, a service category; Service Catalog, a service's category"
Quantity,Cantidad,"Reports, the supply report's printed page"
Quarterly,Trimestral,"Sites, editing a site, Billing"
Queued retry: {0},Reintentos en cola: {0},"Forms, Submissions, the toast after the PDF backfill"
Quick snapshots,Resúmenes rápidos,"Reports, the library"
Raised the case,Presentó el caso,"Cases, a case's window, the access log"
Rate Structure,Estructura de tarifas,"Service Catalog, a service; Service Catalog, adding or editing a service"
Rate limit note,Nota sobre el límite de llamadas,"Forms, Settings, the full refresh window"
Rating,Calificación,"Vendors, the list"
Rating *,Calificación *,"Vendors, adding an evaluation"
Rating required,La calificación es obligatoria,"Vendors, adding an evaluation"
Raw JSON (paste this back to Claude for Step 2 implementation),JSON sin procesar (péguelo de vuelta a Claude para la implementación del paso 2),"Forms, Settings, the diagnostic"
Re-run Auto-Link,Volver a vincular automáticamente,"Forms, Submissions"
"Re-run Auto-Link?

This scans every unlinked submission and matches it against the OCSA users table by employee ID, email, or exact full name. Ambiguous matches (multiple users) are left unlinked for manual review. Submitters that don't exist in the users table will also remain unlinked.

This action is safe to run any number of times.","¿Volver a ejecutar la vinculación automática?

Revisa cada envío sin vincular y lo compara con la tabla de usuarios de OCSA por ID de empleado, correo o nombre completo exacto. Las coincidencias ambiguas (varias personas) se dejan sin vincular para revisarlas a mano. Quienes no existan en la tabla de usuarios también quedan sin vincular.

Se puede ejecutar cuantas veces haga falta.","Forms, Submissions, the question before auto-link runs again"
Reactivate,Reactivar,"Sites, a site's profile; Staff Management, a person's profile"
Read filed incident reports,Leer los informes de incidentes presentados,"Settings, Roles and Permissions, a capability's name"
Read the case,Leyó el caso,"Cases, a case's window, the access log"
Read this log,Leyó este registro,"Cases, a case's window, the access log"
Reason,Motivo,"Schedule; Shift Pickup; Schedule, a time off request; Forms, Sync Diagnostic, the failures, a column"
Reason Breakdown,Desglose por motivo,Shift Pickup
Reason for Reassignment *,Motivo de la reasignación *,"Assigned Tasks, reassigning a task"
Reassign,Reasignar,"Issue Tracker, the issue window; Assigned Tasks, the task window; Assigned Tasks, reassigning a task"
Reassign Issue,Reasignar la incidencia,"Issue Tracker, giving an issue to a person"
Reassign Task,Reasignar la tarea,"Assigned Tasks, reassigning a task"
Reassign To,Reasignar a,Schedule; Shift Pickup
Reassign To *,Reasignar a *,"Assigned Tasks, reassigning a task"
Reassigned,Reasignada,"Issue Tracker and Assigned Tasks, an incidencia or a tarea given to somebody else"
Received,Recibido,"Cases, the list, a column"
Received {0},Recibido: {0},"Cases, a case's window"
Recent Sync Log,Registro de sincronizaciones recientes,"Forms, Settings"
Recommendation,Recomendación,"Forms, Settings, the diagnostic"
Record Detail,Detalle del registro,"Sites, the record window; Sites, a record's printed page; Staff Management, a record's printed page; Staff Management, a record's window"
Record Detail: {0},Detalle del registro: {0},"Sites, a record's printed page, its heading; Staff Management, a record's printed page"
Record Details,Datos del registro,"Sites, a record's printed page; Staff Management, a record's printed page"
Record Fields,Campos del registro,"Sites, the record window; Staff Management, a record's window"
Record ID (UUID),ID del registro (UUID),"Forms, linking a submission to a record"
Recorded when the person started the shift in the portal. There is no end time and no hours here.,Registrado cuando la persona inició el turno en el portal. Aquí no hay hora de fin ni horas.,Schedule
Records,Registros,"HR Records, Employees, a card"
Refill Request,Solicitud de reposición,"Inventory, Requests, a request's type"
Refresh,Actualizar,"Dashboard; Shift Pickup; Live Operations; Forms, PDF Access Log; Forms, Aliases"
Refresh Diagnostic,Actualizar el diagnóstico,"Forms, Sync Diagnostic"
Refreshing...,Actualizando...,"Forms, Sync Diagnostic and Aliases, while the list reloads"
Related Items ({0}),Elementos relacionados ({0}),"Sites, the record window; Sites, a record's printed page; Staff Management, a record's printed page; Staff Management, a record's window"
Release,Liberar,"Schedule; Shift Pickup; Cases, a case's window"
Release this shift back to the open pool?,¿Liberar este turno y devolverlo a los turnos abiertos?,"Shift Pickup, releasing a claimed shift"
Released,Liberado,Shift Pickup
Reliability,Cumplimiento,Shift Pickup
Remove,Quitar,"Sites; HR Records, Onboarding; Staff Management, the Assignments tab; Staff Management, the Certifications tab; Settings, the Company tab; Settings, Who gets told; Forms, Aliases"
Remove alias {0}?,¿Quitar el alias {0}?,"Forms, Aliases, the question before an alias is removed"
Remove photo,Quitar la foto,"Help, a photo waiting to be sent, for a screen reader"
Remove the link for this submission?,¿Quitar el vínculo de este envío?,"Forms, a submission's window, the question before its record link is removed"
Remove this certification?,¿Quitar esta certificación?,"Staff Management, the Certifications tab"
Remove this floor plan?,¿Quitar este plano?,"Sites, General Info"
Remove this line item?,¿Quitar este elemento?,"Inspections, a template"
Remove this service?,¿Quitar este servicio?,"Service Catalog, a service"
Remove this site assignment?,¿Quitar esta asignación de sitio?,"Staff Management, the Assignments tab"
Remove this supply from the site?,¿Quitar este suministro del sitio?,"Sites, Supplies"
Remove this vendor?,¿Quitar este proveedor?,"Vendors, a vendor"
Remove {0},Quitar a {0},"Settings, Who gets told, for a screen reader"
Repeat on,Repetir los,Schedule
Repeat this shift,Repetir este turno,Schedule
Repeats,Se repite,Schedule
Replaces an earlier pattern,Reemplaza a un patrón anterior,"Schedule, a pattern"
Report,Informe,"Help, an unfinished report the API sent without a name; Forms, a filed report with no form name"
Report created,Informe creado,"Reports, adding a report"
Report deleted,Informe eliminado,"Reports, deleting a report"
Report in progress,Informe en curso,Help
Report submitted.,Informe enviado.,Help
Report updated,Informe actualizado,"Reports, editing a report"
Reported,Reportada,"Issue Tracker, the issue window, an incidencia was reported"
Reported At,Fecha del reporte,"Issue Tracker, the issue window"
Reported By,Reportada por,"Issue Tracker, the issue window, who reported the incidencia"
Reported by,Informado por,"Cases, a case's window"
Reporting,Informes,"Settings, Roles and Permissions, the role reference; Settings, Roles and Permissions, by person, a group"
Reports,Informes,"The shell; Inspections, a tab; Reports, the library; Settings, the Company tab"
Reports and report builder,Informes y creador de informes,"Settings, Roles and Permissions, the role reference"
"Reports, labor, and scheduling","Informes, mano de obra y horarios","Settings, Roles and Permissions, a capability's name"
Request approved,Solicitud aprobada,"Inventory, approving a supply request"
Request denied,Solicitud denegada,"Shift Pickup; Inventory, denying a supply request"
Request failed,La solicitud falló,"Schedule, a pattern; Schedule, Patterns; Schedule, Time off; Schedule, a time off request; Help; Any page, a call the API refused without a reason; Cases, a case's window; Settings, Who gets told; Forms, a filed report, a call that fails"
Requested,Solicitado,"Schedule, Time off"
Requested By,Solicitado por,Schedule; Shift Pickup
Requests,Solicitudes,"Shift Pickup; Inventory, a tab"
Required Certifications,Certificaciones requeridas,"Service Catalog, a service; Service Catalog, adding or editing a service"
Required for new hire onboarding,Obligatorio en la incorporación de nuevas contrataciones,"Forms, editing a form"
Requires signature,Requiere firma,"Forms, editing a form"
Reschedule,Reprogramar,Schedule
Reset,Restablecer,"Settings, the Company tab"
Reset PIN,Restablecer el PIN,"Staff Management, a person's profile, the button; Staff Management, Reset PIN, its title and its button"
Resolution,Resolución,"Issue Tracker, the issue window, the photo taken when it was resolved; Assigned Tasks, the task window, the resolution photo for a screen reader"
Resolution (h),Resolución (h),"Reports, adding or editing an issue report, a service level target"
"Resolution (h, median)","Resolución (h, mediana)","Reports, the issue report, the trend chart's legend and tooltip"
Resolution Photo,Foto de la resolución,"Issue Tracker, the issue window, the activity; Assigned Tasks, the task window"
Resolution SLA,SLA de resolución,"Reports, the issue report and its printed page"
Resolution SLA %,SLA de resolución %,"Reports, the issue report, a chart's legend and tooltip"
Resolution SLA by site,SLA de resolución por sitio,"Reports, the issue report, a chart"
Resolution and response compliance percent per {0},Porcentaje de cumplimiento de resolución y respuesta por {0},"Reports, the issue report, a chart, {0} is day, week or month"
Resolution and response trend,Tendencia de resolución y respuesta,"Reports, adding or editing an issue report; Reports, the issue report, a chart"
Resolution breaches,Incumplimientos de resolución,"Reports, the issue report's printed page"
Resolution notes,Notas de resolución,"Cases, a case's window"
Resolution: {0},Resolución: {0},"Assigned Tasks, the task window, the note left when it was resolved"
Resolve,Resolver,"Issue Tracker; Issue Tracker, the issue window"
Resolve all,Resolver todos,"Forms, Sync Diagnostic"
Resolve failed: {0},No se pudo resolver: {0},"Forms, Sync Diagnostic, a toast"
Resolved,Resuelta,"Issue Tracker and Assigned Tasks, an incidencia or a tarea that was resolved; Assigned Tasks, the state filter"
Resolved At,Fecha de resolución,"Issue Tracker, the issue window; Assigned Tasks, the task window"
Resolving...,Resolviendo...,"Forms, Sync Diagnostic, while a form's failures are resolved"
Responded {0},Respondido: {0},"Cases, a case's window"
Response,Respuesta,"Cases, the list, a column"
Response SLA,SLA de respuesta,"Reports, the issue report and its printed page"
Response SLA %,SLA de respuesta %,"Reports, the issue report, a chart's legend and tooltip"
Response Time,Tiempo de respuesta,Shift Pickup
Response Time Summary,Resumen del tiempo de respuesta,Shift Pickup
Response Time by Site,Tiempo de respuesta por sitio,Shift Pickup
Response Time by Urgency,Tiempo de respuesta por urgencia,Shift Pickup
Response breaches,Incumplimientos de respuesta,"Reports, the issue report's printed page"
"Response time, resolution time, and service level compliance","Tiempo de respuesta, tiempo de resolución y cumplimiento del nivel de servicio","Reports, the issue report"
Result,Resultado,"Forms, PDF Access Log, a column"
Resume,Continuar,"Help, picking an unfinished report back up"
Retried ({0}){1},Reintentado ({0}){1},"Forms, Sync Diagnostic, a toast"
Retry,Reintentar,"Help, sending a message again; Forms, Sync Diagnostic, the failures"
Retry failed: {0},El reintento falló: {0},"Forms, Sync Diagnostic, a toast"
Retrying...,Reintentando...,"Forms, Sync Diagnostic, while a failure is retried"
Reviewed,Revisado,"Forms, Submissions, a status"
Reviewed {0},Revisado el {0},"Vendors, the list, a vendor's last review"
Role,Rol,"HR Records, Compliance; Staff Management, the printed profile report; Staff Management, the list; Staff Management, the Profile tab"
Role at Site,Rol en el sitio,"Staff Management, Assign to Site"
Role reference,Referencia de roles,"Settings, Roles and Permissions"
Role: {0}. Default follows this role until you override it.,Rol: {0}. Predeterminado sigue este rol hasta que usted lo cambie.,"Settings, Roles and Permissions, by person"
Roles and Permissions,Roles y permisos,"Settings, the tabs; Settings, the role reference, printed, the title"
Roles and permissions reference,Referencia de roles y permisos,"Settings, Roles and Permissions, the role reference"
Rolling out,En implementación,"Settings, Roles and Permissions, by person, a capability not yet in force"
Run,Ejecutar,"Reports, the library"
Run Diagnostic,Ejecutar el diagnóstico,"Forms, Settings"
Run Full Refresh,Ejecutar la actualización completa,"Forms, Settings, the full refresh window"
Run PDF Backfill,Ejecutar el relleno de PDF,"Forms, Submissions"
"Run PDF backfill?

This sweeps the entire jotform@ocsaco.com inbox and ingests any PDFs that have not yet been captured. May take a few minutes. Run again if the result shows the max was reached.","¿Ejecutar el relleno de PDF?

Recorre toda la bandeja de entrada de jotform@ocsaco.com e incorpora los PDF que todavía no se hayan capturado. Puede tardar unos minutos. Ejecútelo de nuevo si el resultado indica que se alcanzó el máximo.","Forms, Submissions, the question before the PDF backfill runs"
Running...,Ejecutando...,"Forms, Settings, while a full refresh runs"
SLA compliance and breaches,Cumplimiento e incumplimientos del SLA,"Reports, adding or editing an issue report"
SLA compliance by period,Cumplimiento del SLA por periodo,"Reports, the issue report's printed page"
SLA compliance trend,Tendencia del cumplimiento del SLA,"Reports, the issue report, a chart"
Safety / Incident,Seguridad / Incidente,"HR Records, a record's category"
Safety Incident Report,Informe de Incidente de Seguridad,"Settings, Who gets told, a form's title"
Sampled: {0},Muestra: {0},"Forms, Settings, the diagnostic"
Sat,Sáb,"Schedule, the week and the pattern picker"
Saturday,Sábado,"Settings, the Company tab, the day a pay period starts"
Save,Guardar,"Schedule; Sites, editing a site; HR Records; Settings, Dropdown Options; Settings, Site Lookups; Forms, a filed report, the supervisor section; Forms, editing a form"
Save Changes,Guardar los cambios,"Shift Pickup; Sites, editing a task; Service Catalog, editing a service; Vendors, editing a vendor; Staff Management, the Profile tab"
Save Company Settings,Guardar la configuración de la empresa,"Settings, the Company tab"
Save Evaluation,Guardar la evaluación,"Vendors, adding an evaluation"
Save Scope,Guardar el alcance,"Sites, Scope of Work"
Save changes,Guardar los cambios,"Schedule, a pattern; Reports, editing a report; Cases, a case's window; Settings, Roles and Permissions, by person"
Saved,Guardado,"Sites, Scope of Work; Settings, Who gets told"
Saving...,Guardando...,"Reports, saving a report; Cases, a case's window; Settings, the Company tab; Settings, Roles and Permissions, by person; HR Records, logging training for several people; Forms, a filed report, the supervisor section"
Saw it in the list,Lo vio en la lista,"Cases, a case's window, the access log"
Schedule,Horario,"The shell; Schedule; Sites, Timeline; Staff Management, Timeline, a kind of entry"
Schedule All,Programar todo,Schedule
Schedule Inspection,Programar una inspección,"Inspections, Scheduled; Inspections, scheduling an inspection"
Schedule Shift,Programar turno,Schedule
Schedule and shift pickups,Horario y turnos disponibles,"Settings, Roles and Permissions, the role reference"
Schedule updated,Horario actualizado,Schedule
Scheduled,Programado,Schedule
Scheduled Date,Fecha programada,"Inspections, an inspection; Inspections, an inspection's printed report"
Scheduled Date *,Fecha programada *,"Schedule; Inspections, scheduling or editing an inspection"
Scheduled Shift,Turno programado,"Forms, linking a submission, a kind of record"
Scheduling for,Programando para,Schedule
Scope of Work,Alcance del trabajo,"Sites, a site's profile"
Score,Puntaje,"Dashboard; HR Records, Training; HR Records, adding a training record; Inspections, an inspection; Inspections, Completed; Reports, the inspection report's printed page"
Score Trend,Tendencia del puntaje,"Inspections, Reports"
Score by Service Category,Puntaje por categoría de servicio,"Inspections, Reports"
Score trend,Tendencia del puntaje,"Reports, adding or editing an inspection report"
Score: {0},Puntuación: {0},"Staff Management, the HR Files tab, a training record"
Scroll down and tap Add to Home Screen.,Desplácese hacia abajo y toque Agregar a pantalla de inicio.,"The add to home screen sheet, Safari"
Search by name,Buscar por nombre,"HR Records, logging training for several people, who attended"
"Search employee, category, file, uploaded by","Buscar persona, categoría, archivo o quién lo subió","HR Records, Documents"
"Search employee, file, notes","Buscar persona, archivo o notas","HR Records, Other"
"Search employee, training, type, administered by","Buscar persona, capacitación, tipo o quién la impartió","HR Records, Training"
"Search name, ID, phone, role","Buscar nombre, ID, teléfono o rol","Staff Management, the list, the search box"
"Search name, email, form...","Buscar nombre, correo, formulario...","Forms, Submissions, the search box"
"Search name, email, or role...","Buscar por nombre, correo o rol...","HR Records, Employees"
Search pages,Buscar páginas,The shell
"Search site, address, contract","Buscar sitio, dirección o contrato","Sites, the list"
"Search site, service, staff, notes","Buscar por sitio, servicio, personal o notas",Shift Pickup
Search staff,Buscar personal,Schedule; Messages
Search staff...,Buscar personal...,Schedule
"Search template, site, assignee","Buscar plantilla, sitio o persona asignada","Inspections, Scheduled and Completed"
Search titles or notes...,Buscar títulos o notas...,"Forms, Form Library, the search box"
"Search vendor, contact, phone, email, services","Buscar proveedor, contacto, teléfono, correo o servicios","Vendors, the list"
Secondary color,Color secundario,"Settings, the Company tab"
Select (optional),Seleccione (opcional),"Sites, adding a task, Assign To"
Select a scheduled shift below. The original shift will be cancelled and replaced with an open pickup that eligible staff can claim.,Seleccione un turno programado abajo. El turno original se cancela y se reemplaza por un turno abierto que el personal elegible puede tomar.,Shift Pickup
Select a site,Seleccione un sitio,"Service Catalog, linking a site; Staff Management, Assign to Site"
Select a site...,Seleccione un sitio...,"Service Catalog, linking a site; Settings, Site Lookups"
Select a staff member,Seleccione a una persona,"Schedule; Shift Pickup; Issue Tracker, giving an issue to a person; Assigned Tasks, reassigning a task"
Select a staff member...,Seleccione a una persona...,"Issue Tracker, giving an issue to a person; Assigned Tasks, reassigning a task"
Select a supply,Seleccione un suministro,"Vendors, linking a supply"
Select a supply...,Seleccione un suministro...,"Vendors, linking a supply"
Select a synced submission...,Seleccione un envío sincronizado...,"HR Records, adding a document"
Select a team member...,Seleccione a una persona del equipo...,"Settings, Roles and Permissions, by person"
Select all,Seleccionar todo,"HR Records, logging training for several people, who attended"
Select an employee first,Primero seleccione a una persona,"HR Records, Onboarding"
Select an employee first to see matching Jotform submissions.,Primero seleccione a una persona para ver sus envíos de Jotform.,"HR Records, adding a document"
Select an employee to view their onboarding checklist.,Seleccione a una persona para ver su lista de incorporación.,"HR Records, Onboarding"
Select building...,Seleccione un edificio...,Schedule
Select category...,Seleccione una categoría...,"HR Records, adding a document or an onboarding step"
Select employee...,Seleccione a una persona...,"HR Records, adding a document or a training record"
Select entity type and ID,Seleccione el tipo de registro y el ID,"Forms, linking a submission, a toast"
Select floor...,Seleccione un piso...,Schedule
Select role...,Seleccione un rol...,"Staff Management, Assign to Site"
Select shift...,Seleccione un turno...,"Staff Management, Assign to Site"
Select site...,Seleccione un sitio...,"Schedule; Shift Pickup; Assigned Tasks, creating a task; Inspections, scheduling or editing an inspection"
Select staff member...,Seleccione a la persona...,Schedule; Shift Pickup
Select staff...,Seleccione personal...,"Schedule; Assigned Tasks, creating a task"
Select template...,Seleccione una plantilla...,"Inspections, scheduling or editing an inspection"
Select type...,Seleccione un tipo...,"HR Records, adding a training record; HR Records, logging training for several people"
Select user...,Seleccione a una persona...,"Forms, Aliases, adding an alias"
Select...,Seleccione...,"Shift Pickup; Staff Management, Assign to Site"
Selected site,Sitio seleccionado,"Reports, a report's printed page"
Send,Enviar,"Help, the send button, for a screen reader"
Send again,Enviar de nuevo,"Forms, a filed report"
Send it,Enviarlo,"Forms, a filed report, sending it again"
Send this report again to everyone set for this form?,¿Enviar este informe de nuevo a todas las personas configuradas para este formulario?,"Forms, a filed report, before it is sent again"
Sending...,Enviando...,"Forms, a filed report, while it is sent again"
"Sent again: {0} and {1}, {2}.","Enviado de nuevo: {0} y {1}, {2}.","Forms, a filed report, once it is sent again"
Service,Servicio,Shift Pickup
Service Catalog,Catálogo de servicios,"The shell; Service Catalog, the page's title"
Service Category,Categoría de servicio,"Schedule; Shift Pickup; Sites, adding or editing a task; Service Catalog, adding or editing a service"
Service Delivery,Prestación del servicio,"Sites, Service Details, a service category; Service Catalog, a service's category; Reports, adding or editing a report, the category's example"
Service Details,Detalles del servicio,"Sites, a site's profile"
Service Name *,Nombre del servicio *,"Service Catalog, adding or editing a service"
Service added,Servicio agregado,"Service Catalog, adding a service"
Service catalog exported,Catálogo de servicios exportado,"Service Catalog, Export"
Service category,Categoría de servicio,"Schedule, a pattern"
Service level targets (hours),Objetivos de nivel de servicio (horas),"Reports, adding or editing an issue report"
Service name required,El nombre del servicio es obligatorio,"Service Catalog, adding a service"
Service removed,Servicio quitado,"Service Catalog, removing a service"
Service updated,Servicio actualizado,"Service Catalog, editing a service"
Services,Servicios,The shell
"Services: create, edit, delete, link","Servicios: crear, editar, eliminar y vincular","Settings, Roles and Permissions, the role reference"
Services: view,Servicios: ver,"Settings, Roles and Permissions, the role reference"
Session expired,La sesión expiró,"Any page, when the sign-in has run out; Forms, Submissions, the bulk upload; Forms, a submission's window, its PDF"
Sessions,Sesiones,"HR Records, Training, the days a training was given"
Settings,Configuración,"The shell; Settings, the page; Forms, a tab"
Share button,botón Compartir,"The add to home screen sheet, the words the share icon is drawn beside"
Shift,Turno,"Shift Pickup; Staff Management, the printed profile report; Staff Management, Assign to Site"
Shift Details,Detalles del turno,Shift Pickup
Shift Drop Request,Solicitud de baja de turno,Schedule; Shift Pickup
Shift Pickup,Turnos disponibles,"The shell; Forms, linking a submission, a kind of record"
Shift Pickup Board,Tablero de turnos disponibles,Shift Pickup
Shift approved,Turno aprobado,Schedule; Shift Pickup
Shift assigned,Turno asignado,Shift Pickup
Shift cancelled,Turno cancelado,Schedule; Shift Pickup
Shift converted to open pickup,Turno convertido en turno abierto,Schedule; Shift Pickup
Shift reassigned,Turno reasignado,Schedule
Shift released,Turno liberado,Schedule; Shift Pickup
Shift removed,Turno eliminado,Schedule
Shift scheduled,Turno programado,Schedule
Shift updated,Turno actualizado,Shift Pickup
Shifts,Turnos,"Schedule, Time off"
Shifts & Schedule,Turnos y horario,"Sites, a site's profile"
Shifts before this date stay as they are. Shifts someone changed or cancelled by hand are kept.,Los turnos anteriores a esta fecha quedan como están. Los turnos que alguien cambió o canceló a mano se conservan.,"Schedule, a pattern"
Shifts by Day of Week,Turnos por día de la semana,Shift Pickup
Shifts on these days,Turnos en estos días,"Schedule, a time off request"
Show,Mostrar,"Schedule and Shift Pickup, the label beside the rows per page chooser; Live Operations, showing the people who have not started; Sites, the list; HR Records; Vendors, the list; Staff Management, the list"
"Show ""Other"" text input","Mostrar un cuadro de texto para ""Otro""","Settings, Dropdown Options"
Show EIN on report exports by default,Mostrar el EIN en los informes exportados de forma predeterminada,"Settings, the Company tab"
Show Missing IDs,Mostrar los ID faltantes,"Forms, Sync Diagnostic"
Show on report,Mostrar en el informe,"Reports, adding or editing a report"
Show test accounts,Mostrar las cuentas de prueba,"HR Records, Employees"
Showing the first {0}. Choose a person to narrow the list.,Mostrando los primeros {0}. Elija una persona para acotar la lista.,"Schedule, Time off, when the list is longer than the page holds"
Showing {0} of {1},Se muestran {0} de {1},"Forms, Submissions and PDF Access Log, under the table"
Showing {0} to {1} of {2},Mostrando {0} a {1} de {2},"The shell, under a table"
Shown as: {0},Se muestra como: {0},"Settings, Dropdown Options, a value's words in the screen's language, under its English"
Sign,Firmar,"Forms, a filed report, a sign-off"
Sign In,Iniciar sesión,The sign-in card
Sign Out,Cerrar sesión,The shell
Signature,Firma,"HR Records, the printed attendance sheet, the column each person signs in"
Signed by {0} on {1} at {2},Firmado por {0} el {1} a las {2},"Forms, a filed report, a sign-off's stamp"
Signing in...,Iniciando sesión...,The sign-in card
Signing...,Firmando...,"Forms, a filed report, while a sign-off is stamped"
Since midnight,Desde la medianoche,Dashboard
Site,Sitio,"Schedule, Patterns; Schedule; Shift Pickup; Issue Tracker, the issue window; Assigned Tasks, the task window; Sites; Inspections, the printed reports; Sites, the printed pages, a site with no name; Reports, a report's printed page, a table column; Staff Management, the printed profile report; Staff Management, the Assignments tab; HR Records, Training, who has no record of a training; Forms, Filed forms, a column and the site filter; Forms, linking a submission, a kind of record"
Site *,Sitio *,"Schedule; Shift Pickup; Assigned Tasks, creating a task; Service Catalog, linking a site; Staff Management, Assign to Site"
Site Assignments,Asignaciones de sitio,"Staff Management, the Assignments tab"
Site Assignments ({0}),Asignaciones de sitio ({0}),"Staff Management, the printed profile report"
Site Channel Messages,Mensajes del canal del sitio,"Sites, Chat"
Site Comparison,Comparación de sitios,"Inspections, Reports"
Site Lookups,Listas por sitio,"Settings, the tabs"
Site Name,Nombre del sitio,"Sites, editing a site"
Site Notes,Notas del sitio,"Sites, editing a site"
Site Performance,Desempeño por sitio,"Inspections, Reports, the printed report"
Site Record,Registro del sitio,"Sites, the printed timeline, its footer"
Site created,Sitio creado,"Sites, adding a site"
Site deactivated,Sitio desactivado,"Sites, a site's profile"
Site linked,Sitio vinculado,"Service Catalog, linking a site"
Site permanently deleted,Sitio eliminado de forma permanente,"Sites, deleting a site"
Site reactivated,Sitio reactivado,"Sites, a site's profile"
Site records and floor plans,Registros de sitios y planos,"Settings, Roles and Permissions, the role reference; Settings, Roles and Permissions, a capability's name"
Site unlinked,Sitio desvinculado,"Service Catalog, a service"
Site updated,Sitio actualizado,"Sites, editing a site"
Site x Day Heatmap,Mapa de calor de sitio por día,Shift Pickup
"Site, date, and times are required","El sitio, la fecha y las horas son obligatorios",Shift Pickup
"Site, description, zone, and assignee are required","El sitio, la descripción, la zona y la persona asignada son obligatorios","Assigned Tasks, creating a task"
Sites,Sitios,"The shell; Sites, the list; Reports, the supply and inspection reports and their printed pages; Staff Management, the list"
Skipped: {0},Omitidos: {0},"Forms, Submissions, the toast after the PDF backfill, the bulk upload and auto-link"
Slowest,Más lento,Shift Pickup
Slug (auto-generated),Identificador (se genera solo),"Settings, Dropdown Options"
Some delete actions within Inspections and Sites are reserved to Admin.,Algunas acciones de eliminar en Inspecciones y Sitios están reservadas al administrador.,"Settings, Roles and Permissions, the role reference"
Someone asks to drop a shift,Alguien pide dejar un turno,"Settings, Who gets told, a kind of report"
Someone else has to decide your own request.,Otra persona tiene que decidir su propia solicitud.,"Schedule, Time off, when the approver opens a request of their own"
Someone picks up an open shift,Alguien toma un turno disponible,"Settings, Who gets told, a kind of report"
Someone registers for an account,Alguien se registra para tener una cuenta,"Settings, Who gets told, a kind of report"
Someone requests time off,Alguien solicita tiempo libre,"Settings, Who gets told, a kind of report"
Soonest first. Deciding a request leaves the schedule as it is.,Primero las más próximas. Decidir una solicitud deja el horario como está.,"Schedule, Time off, the note above the list"
Source,Fuente,"Reports, adding or editing a report; Forms, Aliases, a column"
Source record not found. The original data may have been deleted.,No se encontró el registro de origen. Es posible que los datos originales se hayan eliminado.,"Sites, the record window"
Spanish,Español,"HR Records, logging training for several people, the language a session was given in"
Specify Category,Especifique la categoría,"Inventory, adding or editing a supply"
Staff,Personal,"The shell; Schedule; Sites; Settings, Roles and Permissions, the role reference, a column"
Staff Management,Gestión de personal,"The shell; Staff Management, the list"
Staff Member,Persona,Shift Pickup
Staff Member *,Persona *,Schedule
Staff Reliability,Cumplimiento del personal,Shift Pickup
Staff Reliability Metrics,Indicadores de cumplimiento del personal,Shift Pickup
Staff Summary,Resumen del personal,"HR Records, Compliance"
Staff accounts and approvals,Cuentas del personal y aprobaciones,"Settings, Roles and Permissions, a capability's name"
"Staff accounts, approvals, PIN resets","Cuentas del personal, aprobaciones y cambios de PIN","Settings, Roles and Permissions, the role reference"
Staff at this site...,Personal de este sitio...,Shift Pickup
"Staff covers custodial and porter roles, and client contacts, who use the staff portal. This shows their access to platform data.","Personal incluye los roles de limpieza y conserjería, y los contactos del cliente, que usan el portal del personal. Aquí se muestra su acceso a los datos de la plataforma.","Settings, Roles and Permissions, the role reference"
Staff with Onboarding,Personal en incorporación,"HR Records, Compliance"
"Staff, site, start time, and end time are required","La persona, el sitio, la hora de inicio y la hora de fin son obligatorios",Schedule
Stage,Etapa,"Forms, Sync Diagnostic, the failures, a column"
Standard,Estándar,"The shell, the text size chooser"
Start,Inicio,"Shift Pickup; Staff Management, Assign to Site"
Start Date,Fecha de inicio,"Sites, editing a site"
Start Time,Hora de inicio,Schedule
Start Time *,Hora de inicio *,Schedule; Shift Pickup
Start Work,Iniciar el trabajo,"Issue Tracker, the issue window"
Start time,Hora de inicio,"Schedule, a pattern"
Started,Iniciado,"Dashboard; Schedule; Live Operations, when a person started; Forms, Filed forms, a column; Forms, Settings, the sync log, a column"
Started Shift,Turno iniciado,Schedule
Started by,Iniciado por,"Forms, Filed forms, a column"
Started on {0},Iniciados el {0},"Live Operations, the heading for a day that is not today"
Started today,Iniciados hoy,Dashboard; Live Operations
Started {0},Iniciado el {0},"Forms, a filed report, when it was started"
Starts,Comienza,"Schedule, a pattern; Schedule, Patterns"
